5S_rRNA	RF00001	5S ribosomal RNA
Six3os1_5	RF02250	Six3os1 conserved region 5
Six3os1_6	RF02251	Six3os1 conserved region 6
Six3os1_7	RF02252	Six3os1 conserved region 7
IRE_II	RF02253	Iron response element II
mir-35	RF02254	microRNA mir-35
adapt33_1	RF02255	Adaptive response 33 conserved region 1
adapt33_2	RF02256	Adaptive response 33 conserved region 2
adapt33_3	RF02257	Adaptive response 33 conserved region 3
adapt33_4	RF02258	Adaptive response 33 conserved region 4
Vax2os1_1	RF02259	Vax2os1 conserved region 1
MAT2A_A	RF02260	MAT2A 3'UTR stem loop A
MAT2A_B	RF02261	MAT2A 3'UTR stem loop B
MAT2A_C	RF02262	MAT2A 3'UTR stem loop C
MAT2A_D	RF02263	MAT2A 3'UTR stem loop D
MAT2A_E	RF02264	MAT2A 3'UTR stem loop E
MAT2A_F	RF02265	MAT2A 3'UTR stem loop F
XIST_intron	RF02266	XIST 3' intron conserved motif
Vax2os1_2	RF02267	Vax2os1 conserved region 2
MtlS	RF02268	MtlS RNA
HPnc0580	RF02269	Heliobacter pylori small RNA HPnc0580
nse_sRNA	RF02270	Neisseria sigma-E sRNA
uc_338	RF02271	TUC338
Vax2os1_3	RF02272	Vax2os1 conserved region 3
FsrA	RF02273	FsrA
AniS	RF02274	AniS
Hammerhead_HH9	RF02275	Hammerhead ribozyme HH9
Hammerhead_II	RF02276	Hammerhead ribozyme (type II)
Hammerhead_HH10	RF02277	Hammerhead ribozyme HH10
Betaproteobacteria_toxic_sRNA	RF02278	Betaproteobacteria toxic small RNA
TtnuCD1	RF02279	Tetrahymena snoRNA TtnuCD1
TtnuCD3	RF02280	Tetrahymena snoRNA TtnuCD3
TtnuCD4	RF02281	Tetrahymena snoRNA TtnuCD4
TtnuCD5	RF02282	Tetrahymena snoRNA TtnuCD5
TtnuCD6	RF02283	Tetrahymena snoRNA TtnuCD6
TtnuCD7	RF02284	Tetrahymena snoRNA TtnuCD7
TtnuCD8	RF02285	Tetrahymena snoRNA TtnuCD8
TtnuCD9	RF02286	Tetrahymena snoRNA TtnuCD9
TtnuCD10	RF02287	Tetrahymena snoRNA TtnuCD10
TtnuCD11	RF02288	Tetrahymena snoRNA TtnuCD11
TtnuCD13	RF02289	Tetrahymena snoRNA TtnuCD13
TtnuCD14	RF02290	Tetrahymena snoRNA TtnuCD14
TtnuCD15	RF02291	Tetrahymena snoRNA TtnuCD15
TtnuCD16	RF02292	Tetrahymena snoRNA TtnuCD16
TtnuCD17	RF02293	Tetrahymena snoRNA TtnuCD17
TtnuCD18	RF02294	Tetrahymena snoRNA TtnuCD18
TtnuCD19	RF02295	Tetrahymena snoRNA TtnuCD19
TtnuCD20	RF02296	Tetrahymena snoRNA TtnuCD20
TtnuCD21	RF02297	Tetrahymena snoRNA TtnuCD21
TtnuCD22	RF02298	Tetrahymena snoRNA TtnuCD22
TtnuCD23	RF02299	Tetrahymena snoRNA TtnuCD23
TtnuCD24	RF02300	Tetrahymena snoRNA TtnuCD24
TtnuCD25	RF02301	Tetrahymena snoRNA TtnuCD25
TtnuCD26	RF02302	Tetrahymena snoRNA TtnuCD26
TtnuCD28	RF02303	Tetrahymena snoRNA TtnuCD28
TtnuCD29	RF02304	Tetrahymena snoRNA TtnuCD29
TtnuCD31	RF02305	Tetrahymena snoRNA TtnuCD31
TtnuCD32	RF02306	Tetrahymena snoRNA TtnuCD32
TtnuCD33	RF02307	Tetrahymena snoRNA TtnuCD33
TtnuCD34	RF02308	Tetrahymena snoRNA TtnuCD34
TtnuHACA1	RF02309	Tetrahymena snoRNA TtnuHACA1
TtnuHACA2	RF02310	Tetrahymena snoRNA TtnuHACA2
TtnuHACA3	RF02311	Tetrahymena snoRNA TtnuHACA3
TtnuHACA5	RF02312	Tetrahymena snoRNA TtnuHACA5
TtnuHACA6	RF02313	Tetrahymena snoRNA TtnuHACA6
TtnuHACA7	RF02314	Tetrahymena snoRNA TtnuHACA7
TtnuHACA8	RF02315	Tetrahymena snoRNA TtnuHACA8
TtnuHACA9	RF02316	Tetrahymena snoRNA TtnuHACA9
TtnuHACA10	RF02317	Tetrahymena snoRNA TtnuHACA10
TtnuHACA11a	RF02318	Tetrahymena snoRNA TtnuHACA11a
TtnuHACA12	RF02319	Tetrahymena snoRNA TtnuHACA12
TtnuHACA13	RF02320	Tetrahymena snoRNA TtnuHACA13
TtnuHACA14	RF02321	Tetrahymena snoRNA TtnuHACA14
TtnuHACA15	RF02322	Tetrahymena snoRNA TtnuHACA15
TtnuHACA16	RF02323	Tetrahymena snoRNA TtnuHACA16
TtnuHACA17	RF02324	Tetrahymena snoRNA TtnuHACA17
TtnuHACA18	RF02325	Tetrahymena snoRNA TtnuHACA18
TtnuHACA19	RF02326	Tetrahymena snoRNA TtnuHACA19
TtnuHACA20	RF02327	Tetrahymena snoRNA TtnuHACA20
TtnuHACA21	RF02328	Tetrahymena snoRNA TtnuHACA21
TtnuHACA22	RF02329	Tetrahymena snoRNA TtnuHACA22
TtnuHACA23	RF02330	Tetrahymena snoRNA TtnuHACA23
TtnuHACA24	RF02331	Tetrahymena snoRNA TtnuHACA24
TtnuHACA25	RF02332	Tetrahymena snoRNA TtnuHACA25
TtnuHACA27	RF02333	Tetrahymena snoRNA TtnuHACA27
TtnuHACA28	RF02334	Tetrahymena snoRNA TtnuHACA28
GlsR2_miR4	RF02335	Giardia snoRNA GlsR2/miRNA miR4
GlsR1_miR6	RF02336	Giardia snoRNA GlsR1/miRNA miR6
GlsR8_miR10	RF02337	Giardia snoRNA GlsR8/miRNA miR10
GlsR16_miR3	RF02338	Giardia snoRNA GlsR16//miRNA miR3
GlsR17_miR2	RF02339	Giardia snoRNA GlsR17/miRNA miR2
DENV_SLA	RF02340	Dengue virus SLA
ncrMT1302	RF02341	Mycobacterium sRNA ncrMT1302
ar7	RF02342	Alphaproteobacterial sRNA ar7
ar9	RF02343	Alphaproteobacterial sRNA ar9
ar14	RF02344	Alphaproteobacterial ar14
ar15	RF02345	Alphaproteobacterial ar15
ar35	RF02346	Alphaproteobacterial sRNA ar35
ar45	RF02347	Alphaproteobacterial sRNA ar45
tracrRNA	RF02348	Trans-activating crRNA
psRNA2	RF02349	Proteobacterial sRNA psRNA2
psRNA6	RF02350	Nitrosomonas sRNA psRNA6
psRNA14	RF02351	Proteobacteria sRNA psRNA14
BjrC68	RF02353	Bradyrhizobiaceae sRNA BjrC68
BjrC80	RF02354	Bradyrhizobiaceae sRNA BjrC80
BjrC174	RF02355	Bradyrhizobiaceae sRNA BjrC174
BjrC1505	RF02356	Alphaproteobacterial sRNA BjrC1505
RNaseP-T	RF02357	RNaseP truncated form
hsp17	RF02358	Hsp17 thermometer
MS2	RF02359	Bacteriophage MS2 operator hairpin
Yfr8	RF02360	Cyanobacterial functional RNA 8/9
Yfr10	RF02362	Cyanobacterial functional RNA 10
Yfr11	RF02363	Cyanobacterial functional RNA 11
Yfr13	RF02364	Cyanobacterial functional RNA 13
Yfr17	RF02365	Cyanobacterial functional RNA 17
Yfr19	RF02366	Cyanobacterial functional RNA 19
Yfr20	RF02367	Cyanobacterial functional RNA 20
Yfr21	RF02368	Cyanobacterial functional RNA 21
h2cR	RF02369	h2cR sRNA
Trp_leader_2	RF02370	Bacillus tryptophan operon leader
PyrG_leader	RF02371	PyrG leader
PyrC_leader	RF02372	PyrC leader
PyrD_leader	RF02373	PyrD leader
YenS	RF02374	Yersinia YenS sRNA
Aar	RF02375	Aar sRNA
SR1	RF02376	SR1 sRNA
SurA	RF02377	SurA sRNA
SurC	RF02378	SurC sRNA
csRNA	RF02379	Cia-dependent small RNA csRNA1
FasX	RF02384	FasX small RNA
sau-13	RF02385	Staphylococcus sRNA sau-13
sau-19	RF02386	Staphylococcus sRNA sau-19
sau-27	RF02387	Staphylococcus sRNA sau-27
sau-30	RF02388	Staphylococcus sRNA sau-30
sau-31	RF02389	Staphylococcus sRNA sau-31
sau-41	RF02390	Staphylococcus sRNA sau-41
sau-53	RF02392	Staphylococcus sRNA sau-53
sau-59	RF02393	Staphylococcus sRNA sau-59
sau-63	RF02394	Staphylococcus sRNA sau-63
sau-66	RF02395	Staphylococcus sRNA sau-66
sau-5949	RF02396	Staphylococcus sRNA sau-5949
sau-5971	RF02397	Staphylococcus sRNA sau-5971
sau-6072	RF02398	Staphylococcus sRNA sau-6072
NsiR1	RF02399	Nitrogen stress-induced RNA 1
Hsp83_3_UTR	RF02400	Heat shock protein 83 3' UTR
ClpQY_promoter	RF02401	ClpQY promoter
Afu_263	RF02402	A. fumigatus snoRNA Afu_263
Afu_328	RF02403	A. fumigatus snoRNA Afu_328
P33	RF02404	Pseudomonas sRNA P33
P34	RF02405	Pseudomonas sRNA P34
snoR120	RF02406	Small nucleolar RNA snoR120
snoR122	RF02407	Small nucleolar RNA snoR122
snoR124	RF02408	Small nucleolar RNA snoR124
snoR125	RF02409	Small nucleolar RNA snoR125
snoR136	RF02410	Small nucleolar RNA snoR136
snoR138	RF02411	Small nucleolar RNA snoR138
snoR144	RF02412	Small nucleolar RNA snoR144
snoR145	RF02413	Small nucleolar RNA snoR145
rli60	RF02414	Listeria sRNA rli60
rliG	RF02415	Listeria sRNA rliG
TCV_H4	RF02416	Turnip crinkle virus 3'UTR
VR-RNA	RF02417	VR-RNA
Spd-sr07	RF02418	Streptococcus sRNA Spd-sr07
Spd-sr37	RF02419	Streptococcus sRNA Spd-sr37
Bp1_162	RF02420	Burkholderia sRNA Bp1_Cand612_SIPHT
Bp1_684	RF02421	Burkholderia sRNA Bp1_Cand684_SIPHT
Bp1_738	RF02422	Burkholderia sRNA Bp1_Cand738_SIPHT
Bp1_781	RF02423	Burkholderia sRNA Bp1_Cand871_SIPHT
Bp2_287	RF02424	Burkholderia sRNA Bp2_Cand287_SIPHT
SpF01_sRNA	RF02425	Streptococcus sRNA SpF01
SpF03_sRNA	RF02426	Streptococcus sRNA SpF03
SpF10_sRNA	RF02427	Streptococcus sRNA SpF10
SpF11_sRNA	RF02428	Streptococcus sRNA SpF11
SpF14_sRNA	RF02429	Streptococcus sRNA SpF14
SpF19_sRNA	RF02430	Streptococcus sRNA SpF19
SpF22_sRNA	RF02431	Streptococcus sRNA SpF22
SpF25_sRNA	RF02432	Streptococcus sRNA SpF25
SpF36_sRNA	RF02433	Streptococcus sRNA SpF36
SpF39_sRNA	RF02434	Streptococcus sRNA SpF39
SpF41_sRNA	RF02435	Streptococcus sRNA SpF41
SpF43_sRNA	RF02436	Streptococcus sRNA SpF43
SpF44_sRNA	RF02437	Streptococcus sRNA SpF44
SpF51_sRNA	RF02438	Streptococcus sRNA SpF51
SpF56_sRNA	RF02439	Streptococcus sRNA SpF56
SpF59_sRNA	RF02440	Streptococcus sRNA SpF59 (ldcC RNA)
SpF61_sRNA	RF02441	Streptococcus sRNA SpF61
SpF66_sRNA	RF02442	Streptococcus sRNA SpF66
SpR08_sRNA	RF02443	Streptococcus sRNA SpR08
SpR10_sRNA	RF02444	Streptococcus sRNA SpR10
SpR14_sRNA	RF02445	Streptococcus sRNA SpR14
SpR18_sRNA	RF02446	Streptococcus sRNA SpR18
SpR19_sRNA	RF02447	Streptococcus sRNA SpR19
SpR20_sRNA	RF02448	Streptococcus sRNA SpR20
ncr1015	RF02449	Bacillus sRNA ncr1015
ncr1175	RF02450	Bacillus sRNA ncr1175
ncr1241	RF02451	Bacillus sRNA ncr1241
ncr1575	RF02452	Bacillus sRNA ncr1575
ncr952	RF02453	Bacillus sRNA ncr952
ncr982	RF02454	Bacillus sRNA ncr982
Virus_CITE_1	RF02455	Dianthovirus RNA2 cap-independent translation element
Diantho_3_UTR	RF02456	Dianthovirus RNA2 3'UTR stem loops
Virus_CITE_2	RF02457	Tombusvirus 3' cap-independent translation element
Virus_CITE_3	RF02458	Aureusvirus cap-independent translation element
Virus_CITE_4	RF02459	Necrovirus cap-independent translation element
Virus_CITE_5	RF02460	Satellite tobacco necrosis virus cap-independent translation element
Virus_CITE_6	RF02461	Blackcurrant reversion virus cap-independent translation element
Telomerase_Asco	RF02462	Ascomycota telomerase RNA
Ms_AS-1	RF02463	Mycobacterium sRNA Ms_AS-1
Ms_AS-4	RF02464	Actinobacteria sRNA Ms_AS-4
Ms_AS-5	RF02465	Mycobacterium sRNA Ms_AS-5
Ms_AS-8	RF02466	Actinobacteria sRNA Ms_AS-8
Ms_IGR-2	RF02467	Mycobacterium sRNA Ms_IGR-2
Ms_IGR-4	RF02468	Mycobacterium sRNA Ms_IGR-4
Ms_IGR-7	RF02469	Actinobacteria sRNA Ms_IGR-7
Ms_IGR-8	RF02470	Mycobacterium sRNA Ms_IGR-8
Ms_IGR-5	RF02471	Actinobacteria sRNA Ms_IGR-5
Gl_RNase_MRP	RF02472	Giardia RNase MRP
GlsR4	RF02473	Small nucleolar RNA GlsR4
GlsR5	RF02474	Small nucleolar RNA GlsR5
GlsR6	RF02475	Small nucleolar RNA GlsR6
GlsR7	RF02476	Small nucleolar RNA GlsR7
GlsR9	RF02477	Small nucleolar RNA GlsR9
GlsR10	RF02478	Small nucleolar RNA GlsR10
GlsR13	RF02479	Small nucleolar RNA GlsR13
GlsR14	RF02480	Small nucleolar RNA GlsR14
GlsR18	RF02481	Small nucleolar RNA GlsR18
GlsR19	RF02482	Small nucleolar RNA GlsR19
GlsR20	RF02483	Small nucleolar RNA GlsR20
GlsR21	RF02484	Small nucleolar RNA GlsR21
GlsR22	RF02485	Small nucleolar RNA GlsR22
GlsR23	RF02486	Small nucleolar RNA GlsR23
GlsR24	RF02487	Small nucleolar RNA GlsR24
GlsR25	RF02488	Small nucleolar RNA GlsR25
GlsR26	RF02489	Small nucleolar RNA GlsR26
GlsR27	RF02490	Small nucleolar RNA GlsR27
Gl_U1	RF02491	Giardia U1 spliceosomal RNA
Gl_U2	RF02492	Giardia U2 spliceosomal RNA
Gl_U4	RF02493	Giardia U4 spliceosomal RNA
Gl_U6	RF02494	Giardia U6 spliceosomal RNA
ohsC_RNA	RF02495	Oppression of Hydrophobic ORF by sRNA
Atu_At1	RF02496	Rhizobiales sRNA Atu_At1
Atu_C10	RF02497	Rhizobiales sRNA Atu_C10
Atu_C3	RF02498	Rhizobiales sRNA Atu_C3
Atu_C4	RF02499	Rhizobiales sRNA Atu_C4
Atu_C6	RF02500	EcpR1
Atu_C7	RF02501	Rhizobiales sRNA Atu_C7
Atu_C8	RF02502	Rhizobiales sRNA Atu_C8
Atu_C9	RF02503	Rhizobiales sRNA Atu_C9
Atu_L1	RF02504	Rhizobiales sRNA Atu_L1
Atu_L6	RF02505	Rhizobiales sRNA Atu_L6
Atu_Ti1	RF02506	Rhizobiales sRNA Atu_Ti1
Atu_Ti3	RF02507	Rhizobiales sRNA Atu_Ti3
Atu_Ti4	RF02508	Rhizobiales sRNA Atu_Ti4
PYLIS_2	RF02509	Pyrrolysine insertion sequence mtbB
PYLIS_3	RF02510	Pyrrolysine insertion sequence mttB
PYLIS_4	RF02511	Pyrrolysine insertion sequence TetR
PYLIS_5	RF02512	Pyrrolysine insertion sequence transposase 1
PYLIS_6	RF02513	Pyrrolysine insertion sequence transposase 2
5_ureB_sRNA	RF02514	5' ureB small RNA
AfaR	RF02515	AfaR small RNA
mir-393	RF02516	mir-393 microRNA precursor family
mir-1017	RF02517	mir-1017 microRNA precursor family
mir-2494	RF02518	mir-2494 microRNA precursor family
ToxI	RF02519	ToxI antitoxin
mir-965	RF02520	mir-965 microRNA precursor family
Virus_CITE_7	RF02521	Pea enation mosaic virus-2 cap-independent translation element
Virus_CITE_8	RF02522	Pea enation mosaic virus-2 cap-independent translation element
ROSE_3	RF02523	Repression of heat shock gene expression (ROSE) element
sagA	RF02524	Streptococcus sRNA sagA
SSRC30	RF02525	Streptococcus sRNA SSRC30
SSRC34_1	RF02526	Streptococcus sRNA SSRC34
SSRC38	RF02527	Streptococcus sRNA SSRC38
SSRC41	RF02528	Streptococcus sRNA SSRC41
SSRC8_1	RF02529	Streptococcus sRNA SSRC8
URE2_IRES	RF02530	Ure2 internal ribosome entry site (IRES)
NRF2_IRES	RF02531	Nrf2 internal ribosome entry site (IRES)
MNV_3UTR	RF02532	Murine norovirus 3'UTR
HAV_CRE	RF02533	Hepatitis A virus (HAV) cis-acting replication element (CRE)
Noro_CRE	RF02534	Norovirus cis-acting replication element (CRE)
ODC_IRES	RF02535	ODC internal ribosome entry site (IRES)
AEV_CRE	RF02536	Avian encephalitis virus (AEV) cis-acting replication element (CRE)
TarA	RF02537	Vibrio ToxT activated RNA TarA
TarB	RF02538	Vibrio ToxT activated RNA TarB
SNOR75	RF02539	Plant small nucleolar RNA SNOR75
LSU_rRNA_archaea	RF02540	Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria	RF02541	Bacterial large subunit ribosomal RNA
SSU_rRNA_microsporidia	RF02542	Microsporidia small subunit ribosomal RNA
LSU_rRNA_eukarya	RF02543	Eukaryotic large subunit ribosomal RNA
mt-tmRNA	RF02544	Mitochondrion-encoded tmRNA
SSU_trypano_mito	RF02545	Trypanosomatid mitochondrial small subunit ribosomal RNA
LSU_trypano_mito	RF02546	Trypanosomatid mitochondrial large subunit ribosomal RNA
mtPerm-5S	RF02547	Permuted mitochondrial genome encoded 5S rRNA
Oskar_OES	RF02548	Oocyte entry signal (OES) from oskar mRNA
YFV_3UTR	RF02549	Pseudoknot PSK3
RnaG	RF02550	RnaG sRNA
DapZ	RF02551	ABC transporter regulator
RcsR1	RF02552	RcsR1 sRNA
YrlA	RF02553	Y RNA-like
ppoRNA	RF02554	mt-5S-like P. polycephalum
hveRNA	RF02555	mt-5S-like H. vermiformis
snaR-A	RF02556	snaR-A sRNA
CbSR1	RF02557	Coxiella burnetii sRNA 1
CbSR2	RF02558	Coxiella burnetii sRNA 2
CbSR4	RF02559	Coxiella burnetii sRNA 4
CbSR9	RF02560	Coxiella burnetii sRNA 9
CbSR12	RF02561	Coxiella burnetii sRNA 12
CbSR14	RF02562	Coxiella burnetii sRNA 14
CbSR3	RF02563	Coxiella burnetii sRNA 3
naRNA4	RF02564	Nucleoid-associated noncoding RNA 4 (CssrE)
YrlB	RF02565	Y RNA-like
Ms1	RF02566	Mycobacterium smegmatis small RNA 1
Va-907	RF02567	Vibrio alginolyticus sRNA 907
UptR	RF02568	Escherichia coli small RNA (uptR) gene
IhtA	RF02569	IhtA sRNA
BM-sr0117	RF02570	Brucella melitensis small RNA 0117
Mcr7	RF02571	mcr7 sRNA
babR_5UTR	RF02572	Brucella babR 5'UTR
LLnc147	RF02573	Lactococcus lactis non-coding RNA 147
Ricks_sRNA10	RF02574	Rickettsia sRNA 10
DM_SisR1	RF02575	Drosophila melanogaster stable intronic sequence RNA 1
tsr1	RF02576	tsr1 small RNA
tsr24	RF02577	S. aureus tsr24 small RNA
tsr25	RF02578	S. aureus tsr25 small RNA
tsr26	RF02579	S. aureus tsr26 small RNA
tsr31	RF02580	S. aureus tsr31 small RNA
tsr32	RF02581	S. aureus tsr32 small RNA
tsr33	RF02582	S. aureus tsr33 small RNA
Teg23	RF02583	S. aureus Teg23 small RNA
KRAS_3UTR	RF02584	KRAS 3' UTR cis-regulatory element
HCV_package	RF02585	Hepatitis C virus RNA packaging signal
HCV_package-SL733	RF02586	Hepatitis C virus RNA packaging signal 733
HCV_package-SL4629	RF02587	Hepatitis C virus RNA packaging signal 4629
HCV_package-SL6067	RF02588	Hepatitis C virus RNA packaging signal 6067
Spy779816	RF02589	S. pyogenes small RNA 779816
Spy1186876	RF02590	S. pyogenes small RNA 1186876
Spy1786666	RF02591	S. pyogenes small RNA 1786666
Spy392987	RF02592	S. pyogenes antisense RNA 392987
NsiR8	RF02593	Nitrogen stress-induced RNA 8
NsiR9	RF02594	Nitrogen stress-induced RNA 9
EBv-sisRNA-1	RF02595	Epstein-Barr virus stable intronic sequence RNA 1
cyano_het_sRNA	RF02596	Cyanobacteria heterocyst sRNA
shuA_thermo	RF02597	shuA/chuA 5' UTR thermoregulator
EBv-sisRNA-2	RF02598	Epstein-Barr virus stable intronic sequence RNA 2
BASRCI408	RF02599	Brucella sRNA CI408
BASRCI27	RF02600	Brucella sRNA CI27
BASRCI337	RF02601	Brucella sRNA CI337
BASRCI414	RF02602	Brucella sRNA CI414
BASRCII26	RF02603	Brucella sRNA CII26
BASRCI153	RF02604	Brucella sRNA CI153
scr5239	RF02605	Streptomyces sRNA scr5239
AbsR28	RF02606	Acinetobacter sRNA 28
AbsR25	RF02607	Acinetobacter sRNA 25
AbsR11	RF02608	Acinetobacter sRNA 11
BSR0602	RF02609	Brucella sRNA 0602
BSR0709	RF02610	Brucella sRNA 0709
BSR0653	RF02611	Brucella sRNA 0653
BSR1350	RF02612	Brucella sRNA 1350
BSR0739	RF02613	Brucella sRNA 0739
BSR1073	RF02614	Brucella sRNA 1073
BSR0626	RF02615	Brucella sRNA 0626
SSRC8_2	RF02616	Streptococcus sRNA 8
SSRC10	RF02617	Streptococcus sRNA 10
SSRC34_2	RF02618	Streptococcus sRNA 34
BSnc115	RF02619	Brucella sRNA 115
BSnc119	RF02620	Brucella sRNA 119
BSnc120	RF02621	Brucella sRNA 120
BSnc121	RF02622	Brucella sRNA 121
BSnc140	RF02623	Brucella sRNA 140
BSnc150	RF02624	Brucella sRNA 150
WsnRNA46	RF02625	Wolbachia sRNA 46
WsnRNA59	RF02626	Wolbachia sRNA 59
Ssr1	RF02627	Shigella small RNA 1
Hrs1	RF02628	Hfq-regulated sRNA 1
RmaA	RF02629	Regulator of motility and amylovoran A
Hrs12	RF02630	Hfq-regulated sRNA 12
Hrs13	RF02631	Hfq-regulated sRNA 13
Hrs10	RF02632	Hfq-regulated sRNA 10
Hrs21	RF02633	Hfq-regulated sRNA 21
EF3314_EF3315	RF02634	Enterococcus sRNA EF3314_EF3315
EF0820_EF0821	RF02635	Enterococcus sRNA EF0820_EF0821
EF1368_EF1369	RF02636	Enterococcus sRNA EF1368_EF1369
EF0408_EF0409	RF02637	Enterococcus sRNA EF0408_EF0409
EF0605_EF0606	RF02638	Enterococcus sRNA EF0605_EF0606
EF0869_EF0870	RF02639	Enterococcus sRNA EF0869_EF0870
MOSES4	RF02640	S. pyogenes small RNA MOSES4
Spy490483c	RF02641	S. pyogenes small RNA Spy490483c
Spy491311c	RF02642	S. pyogenes small RNA Spy491311c
Spy491738	RF02643	S. pyogenes small RNA Spy491738
Spy490380c	RF02644	S. pyogenes small RNA Spy490380c
Cis2_sRNA	RF02645	Ruegeria cis2 sRNA
Cis8_sRNA	RF02646	Ruegeria cis8 sRNA
Cis52_sRNA	RF02647	Ruegeria cis52 sRNA
Cis90_sRNA	RF02648	Ruegeria cis90 sRNA
Trans44_sRNA	RF02649	Ruegeria trans44 sRNA
CncR1	RF02650	Cag non-coding RNA1
SorY	RF02651	Singlet oxygen resistance RNA Y
StyR-3	RF02652	Salmonella enterica Typhi npcRNA 3
StyR-143	RF02653	Salmonella enterica Typhi npcRNA 143
MicL	RF02654	MicL sRNA
BSR0441	RF02655	Brucella BSR0441 sRNA
sot0042	RF02656	Sense overlapping transcript RNA 0042 (sot)
sot2652	RF02657	Sense overlapping transcript RNA 2652 (sot)
IRES_RhPV	RF02658	Rhopalosiphum padi virus 5'UTR internal ribosome entry site
ncRv12659	RF02659	ncRv12659 sRNA
icaR_3p_UTR	RF02660	icaR 3'UTR
icaR_5p_UTR	RF02661	icaR 5' UTR
BLi_r0872	RF02662	Bacillus asRNA 0872
GmglnB1_5p_UTR	RF02663	GmglnB1 5'UTR
IRES_cyp24a1	RF02664	Cyp24a1 internal ribosome entry site (IRES)
PsiU1-6	RF02665	Drosophila small cajal body-specific RNA PsiU1-6
PsiU2-35.45	RF02666	Drosophila small cajal body-specific RNA PsiU2-35.45
PsiU2-38.40.42	RF02667	Drosophila small cajal body-specific RNA PsiU2-38.40.4
PsiU2-55	RF02668	Drosophila small cajal body-specific RNA PsiU2-55
PsiU6-40	RF02669	Drosophila small cajal body-specific RNA PsiU6-40
scaDm46E3	RF02670	small Cajal body-specific RNA Dm46E3
Ysr35	RF02671	Yersinia sRNA 35
SprX	RF02672	Small pathogenicity island RNA X
scr4677	RF02673	Streptomyces sRNA 4677
AsdA	RF02674	antisense RNA of dnaA mRNA
Ysr141	RF02675	Yersinia sRNA 141
Esr41	RF02676	Enterohemorrhagic E. coli sRNA 41
NsiR4	RF02677	Nitrogen stress-induced RNA 4
Hatchet	RF02678	Hatchet ribozyme
Pistol	RF02679	Pistol ribozyme
PreQ1-III	RF02680	PreQ1-III riboswitch
Twister-sister	RF02681	Twister_sister_ribozyme
HDV-F-prausnitzii	RF02682	HDV ribozyme from F. prausnitzii
NiCo	RF02683	NiCo riboswitch
Twister-P5	RF02684	Type-P5 twister ribozyme
RAGATH-5	RF02685	RAGATH-5 RNA
RAGATH-6	RF02686	RAGATH-6 RNA
RAGATH-8	RF02687	RAGATH-8 RNA
RAGATH-13	RF02688	RAGATH-13 RNA
hilD_3p_UTR	RF02689	hilD 3'UTR
BTH_s1	RF02690	Burkholderia sRNA 1
BTH_s19	RF02691	Burkholderia sRNA 19
BTH_s39	RF02692	Burkholderia sRNA 39
psm_mec_RNA	RF02693	psm_mec locus RNA
RalA	RF02694	RalR antitoxin
NrsZ	RF02695	Nitrogen regulated small RNA
Teg49	RF02696	Teg49 sRNA
LDH1_5p_UTR	RF02697	LDH1 5'UTR
Avalong_thermometer	RF02698	Avalong 5' UTR thermometer
Avashort_thermometer	RF02699	Avashort 5' UTR thermometer
HtrA_thermometer	RF02700	HtrA 5' UTR thermometer
PsrR1	RF02701	Photosynthesis regulatory RNA1
AgvB	RF02702	Anti GcvB sRNA
AsxR	RF02703	Anti stx2 sRNA
LcrF_thermometer	RF02704	LcrF intergenic thermometer
B_rapa_snoR775	RF02705	Brassica rapa small nucleolar RNA 775
TeloSII_ncR30	RF02706	TeloSII non coding RNA 30
TeloSII_ncR33	RF02707	TeloSII non coding RNA 33
TeloSII_ncR40	RF02708	TeloSII non coding RNA 40
TeloSII_ncR43	RF02709	TeloSII non coding RNA 43
TeloSII_ncR45	RF02710	TeloSII non coding RNA 45
TeloSII_ncR49	RF02711	TeloSII non coding RNA 49
EBER2	RF02712	Epstein-Barr virus EBER2
MCS4	RF02713	Mycoplasma sRNA MCS4
snopsi28S-3378	RF02714	Small nucleolar RNA psi28S-3378
sno_ncR1	RF02715	Small nucleolar RNA ncR1
sno_ncR3	RF02716	Small nucleolar RNA ncR3
sno_ncR4	RF02717	Small nucleolar RNA ncR4
sca_ncR14	RF02718	Small Cajal body specific RNA ncR14
sca_ncR20	RF02719	Small Cajal body specific RNA ncR20
sca_ncR21	RF02720	Small Cajal body specific RNA ncR21
sca_ncR26	RF02721	Small Cajal body specific RNA ncR26
sca_ncR27	RF02722	Small Cajal body specific RNA ncR27
sno_ZL1	RF02723	Small nucleolar RNA ZL1
sno_ZL2	RF02724	Small nucleolar RNA ZL2
sno_ZL8	RF02725	Small nucleolar RNA ZL8
sno_ZL63	RF02726	Small nucleolar RNA ZL63
sno_ZL116	RF02727	Small nucleolar RNA ZL116
HrrF	RF02728	Haemophilus regulatory RNA responsive to iron
JA01	RF02729	Aggregatibacter sRNA JA01
JA02	RF02730	Aggregatibacter sRNA JA02
JA03	RF02731	Aggregatibacter sRNA JA03
JA04	RF02732	Aggregatibacter sRNA JA04
ToxT_thermometer	RF02733	ToxT 5' UTR thermometer
Cgb105	RF02734	Corynebacterium sRNA 105
Sernc350	RF02735	Saccharopolyspora sRNA 350
Rev11	RF02736	Soft rot Enterobacteriaceae Rev 11 asRNA
Rev13	RF02737	Soft rot Enterobacteriaceae Rev 13 asRNA
Rev24	RF02738	Soft rot Enterobacteriaceae Rev 24 asRNA
